Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
fineExp,BASELINE,original,,0,0,0.9274,0.7784,0.9516,0.6279
fineExp,REPAIR,repaired_Sub19,,45,45,0.9274,0.7774,0.982,0.6279
fineExp,REPAIR,repaired_Sub178,,2730,2775,0.9288,0.7814,0.9815,0.6279
fineExp,REPAIR,repaired_Sub28,,30,2805,0.9288,0.7813,0.9828,0.6279
fineExp,REPAIR,repaired_Sub58,,3,2808,0.9288,0.7522,0.9829,0.6279
fineExp,REPAIR,repaired_Sub5,,8,2816,0.9288,0.7577,0.9831,0.6279
fineExp,REPAIR,repaired_Sub7,,39,2855,0.9288,0.7615,0.9831,0.6279
fineExp,REPAIR,repaired_Sub56,,18,2873,0.9288,0.7587,0.9831,0.6279
fineExp,REPAIR,repaired_Sub62,,14,2887,0.9288,0.7584,0.9831,0.6279
fineExp,REPAIR,repaired_Sub14,,25,2912,0.9288,0.7364,0.9831,0.6279
fineExp,REPAIR,repaired_Sub24,,8,2920,0.9289,0.7408,0.9831,0.6279
fineExp,REPAIR,repaired_Sub100,,0,2920,0.9289,0.7381,0.9831,0.6279
fineExp,REPAIR,repaired_Sub71,,3,2923,0.9289,0.7393,0.9831,0.6279
fineExp,REPAIR,repaired_Sub33,,9,2932,0.9288,0.7349,0.9831,0.6279
fineExp,REPAIR,repaired_Sub30,,1,2933,0.9288,0.7431,0.9831,0.6279
fineExp,REPAIR,repaired_Sub54,,0,2933,0.9288,0.737,0.9831,0.6279
fineExp,REPAIR,repaired_Sub59,,4,2937,0.9288,0.7321,0.9831,0.6279
fineExp,REPAIR,repaired_Sub113,,0,2937,0.9288,0.733,0.9831,0.6279
fineExp,REPAIR,repaired_Sub64,,4,2941,0.9288,0.6963,0.9831,0.6279
fineExp,REPAIR,repaired_Sub88,,0,2941,0.9288,0.6883,0.9831,0.6279
fineExp,REPAIR,repaired_Sub50,,3,2944,0.9288,0.695,0.9832,0.6279
fineExp,REPAIR,repaired_Sub80,N/A,0,2944,0.9288,0.6944,0.9832,0.6279
